Route,Departure_Time,Fare,Stops
Kagal,7:55 AM,15600,"Bhogavati, Kurukali, Kothali, Haldi, Kandgaon, Nandwal"
Ashta,7:50 AM,15400,"Sangavade, Vasagade, Uchgaon, Kawala Naka"
Sangli,7:35 AM,19300,Direct route
Gargoti,7:35 AM,19300,"Madilge, Koor, Mudal, Thitta, Bidri"
Ichalkaranji,7:35 AM,13100,"Male Fata, Chokak, Rukadi Fata, Atigre Fata"
Islampur,7:30 AM,24800,"Watar, Kini Fata, Tandulwadi, Yeloor Fata"
Kolhapur City,8:05 AM,8100,"Hockey Stadium, Subhash Nagar, Mauli Chowk, Rajarampuri"
