Category,Field,Value,Details
Basic Info,College Name,D. Y. Patil College of Engineering & Technology,"Kasaba Bawada, Kolhapur"
Basic Info,Establishment Year,1984,Under visionary leadership of Padmashree Dr. D. Y. Patil
Basic Info,Type,Autonomous Institute,"Self-financing, UGC and Shivaji University conferred status in 2020"
Basic Info,Engineering DTE Code,EN 6250,For Engineering courses
Basic Info,Architecture DTE Code,AR 6532,For Architecture courses
Accreditation,NAAC Grade,A Grade,CGPA: 3.08
Accreditation,NBA Accreditation,Yes,"CSE, E&TC, Mechanical Engineering (2022-2025)"
